能量小姐,全飯/半飯,
1,水煮嫩雞胸,110
2,(半飯)水煮嫩雞胸,110
3,香滷雞腿,110
4,(半飯)香滷雞腿,110
5,麻香口水雞,120
6,(半飯)麻香口水雞,120
7,韓式菇菇雞,115
8,(半飯)韓式菇菇雞,115
9,照燒雞腿排,130
10,(半飯)照燒雞腿排,130
11,鹽烤鯖魚,105
12,(半飯)鹽烤鯖魚,105
13,蒜泥豬里肌,100
14,(半飯)蒜泥豬里肌,100
15,泡菜豬里肌,110
16,(半飯)泡菜豬里肌,110
17,日式壽喜牛,120
18,(半飯)日式壽喜牛,120
19,清滷牛腱,165
20,(半飯)清滷牛腱,165
21,鷹嘴豆咖哩,110
22,(半飯)鷹嘴豆咖哩,110
23,蔬食餐盒,85
24,(半飯)蔬食餐盒,85
25,剝皮辣椒雞湯,45
26,金宣紅茶,35
27,玫瑰綠茶,35
28,香檬水,35
29,高山青茶,35
30,桂花烏龍,35
31,----單點加選----,
32,(單點)水煮嫩雞胸,60
33,(單點)麻香口水雞,70
34,(單點)照燒雞腿排,80
35,(單點)蒜泥豬里肌,50
36,(單點)日式壽喜牛,70
37,(單點)鷹嘴豆咖哩,60
38,(單點)香滷雞腿,60
39,(單點)韓式菇菇雞,65
40,(單點)鹽烤鯖魚,55
41,(單點)泡菜豬里肌,60
42,(單點)清滷牛腱,115
43,(單點)青菜,30
44,(單點)紫米飯,15
45,(單點)溏心蛋,20
